iCityId,cZipCode,cCity
1,8533,Dronningmølle
2,7192,Hørsholm
3,6672,Skovlunde
4,6256,Fredensborg
5,2053,Nærum
6,8635,Ølsted
7,7249,Veksø Sjælland
8,1786,Hasle
9,7953,Ålsgårde
10,3315,Taastrup
11,4475,Kokkedal
12,3458,København S
13,3396,Ballerup
14,6341,Værløse
15,5126,Dyssegård
16,6693,Kvistgård
17,7597,Rønne
18,1187,Skævinge
19,7611,Nivå
20,6293,Farum
21,6080,Søborg
22,1463,Aakirkeby
23,6185,Bagsværd
24,2320,Måløv
25,4810,Ishøj
26,4816,Helsingør
27,5665,København NV
28,4596,Gørløse
29,6632,Lynge
30,8797,Hellebæk
